Merchant ID,Account Name,Account Type,Sector,MCC.,Account Owner,Account Status.,Activated Date,Country,Referral Source
174053,Roam and Rove Xpeditions,Travel Agent,Travel,4722- Travel Agencies Tour Operators,Elijah Makau,Proposal,,Kenya,Employee Referral
120001,Multi Branch Main- Scenario 2 dashboards,CBO/Community Development,Retail,"5111- Stationery, Office Supplies, Printing and Writing Paper",Tracy Biyaki,Finalized,"Aug 26, 2025",Kenya,Account Management Referral
107526,BUSH AND FOREST EXPLORERS LIMITED,Travel Agent,Travel,4722- Travel Agencies Tour Operators,Palme Paiton Katemana,Activated,"Oct 6, 2025",Tanzania,N/A
173980,FIVE EIGHT LIQUOR PALACE,Liquor Store,Retail,"5921- Package Stores- Beer, Wine and Liquor",Anthony Ngunyi,Activation Process,,Kenya,Self Search
173960,Grandnexus Africa (SMC) LTD,Travel Agent,Travel,4722- Travel Agencies Tour Operators,Adella Asaasira,Activated,"Oct 6, 2025",Uganda,N/A
173948,KORE WELLNESS LIMITED,Gym,Retail,5399-Miscellaneous General Merchant (Small Retail),Susan Matiko,Rate Review,,Kenya,Bank Referral
173945,Toto Tembo Safaris Limited,Tour Operator,Travel,4722- Travel Agencies Tour Operators,Daniel Chebon,Activated,"Oct 6, 2025",Kenya,Self Search
173827,Onjaonja Kitchen Limited,Liquor Store,Retail,"5921- Package Stores- Beer, Wine and Liquor",Elijah Makau,Activated,"Oct 6, 2025",Kenya,Self Search
173953,Myra IVF And Medical Center Limited,Hospital,Retail,8062- Hospital,Elijah Makau,Activated,"Oct 6, 2025",Kenya,Self Search
173934,Fresh Mood Treks Limited,Tour Operator,Travel,4722- Travel Agencies Tour Operators,Allen Shilinde,Qualified Lead,,Tanzania,Self Search
173752,SOURCE OF THE NILE HOTEL LIMITED,Bar / Lounge,Hospitality,5812- Eating Place & Restaurant,Moses Ochom,Qualified Lead,,Uganda,Account Management Referral
173793,SERENGETI CAPTAIN TOURS & SAFARIS,Travel Agent,Travel,4722- Travel Agencies Tour Operators,Fortunatus Massawe,Qualified Lead,,Tanzania,Self Search
166394,AZL Visions,E-Commerce,E-Commerce,5965- Direct Marketing--Combination Catalog & Retail Merchant,Ann Njoroge,Finalized,"Oct 5, 2025",Kenya,Self Search
173741,AFRIHOSPITAL HOLDINGS LIMITED,Health services,Retail,8062- Hospital,Susan Matiko,Activation Process,,Kenya,Bank Referral
173357,Taste Of Zanzi (Smc-Private) Limited,Lodge,Hospitality,"7011- Hotels, Motels and Resorts",Sadru Kazabula,Finalized,"Oct 5, 2025",Tanzania,Chat
173690,AARDVARK AFRICA SAFARIS LTD,Tour Operator,Travel,4722- Travel Agencies Tour Operators,Elosy Ngina,Activated,"Oct 6, 2025",Kenya,Merchant Referral
135683,ALDER BAGS ENTERPRISES,E-Commerce,E-Commerce,5399-Miscellaneous General Merchant (Small Retail),Samuel Oloo,Closed Won,,Kenya,Chat
173950,BASECAMP DAR ES SALAAM OPERATIONS LIMITED,Hotel,Hospitality,"7011- Hotels, Motels and Resorts",Marko Lambaldo,Closed Won Pending,,Tanzania,N/A
173975,MC SMART OPTIONS,E-Commerce,E-Commerce,5399-Miscellaneous General Merchant (Small Retail),Raymond Eguru,Activation Process,,Uganda,N/A
173954,Shop Kipekee,"Fashion, Clothes & Accessories",Retail,5621- Women Ready to Wear Stores,Susan Mutie,Finalized,"Oct 6, 2025",Kenya,Self Search
173645,The Colobus Boutique,Gift Shop,Retail,5399-Miscellaneous General Merchant (Small Retail),Susan Mutie,Finalized,"Oct 3, 2025",Kenya,Bank Referral
173646,Kajuje Family Dental Care Limited,Health services,Retail,,Peter Robinson,Qualified Lead,,Kenya,Bank Referral
173708,Vanguard Gate Trading Limited,Restaurant,Hospitality,5812- Eating Place & Restaurant,Anthony Ngunyi,Activated,"Oct 6, 2025",Kenya,Self Search
173426,Kenya Wildstep Safaris Ltd,Tour Operator,Travel,4722- Travel Agencies Tour Operators,Jonah Rop,Closed Won,,Kenya,N/A
173538,AFRICA LOVELY SAFARIS Ltd,Tour Operator,Travel,4722- Travel Agencies Tour Operators,Collins Kweyamba,Finalized,"Oct 6, 2025",Rwanda,Self Search
154303,B2R BRAND,E-Commerce,E-Commerce,5399-Miscellaneous General Merchant (Small Retail),Allen Shilinde,Activated,"Oct 3, 2025",Tanzania,Helpdesk
173117,POLO SPYTECH COMPANY LIMITED,E-Commerce,E-Commerce,5399-Miscellaneous General Merchant (Small Retail),Sharon Munguryek,Finalized,"Oct 3, 2025",Uganda,N/A
173602,PENTTI Ltd,Consultancy,Retail,6513- Real Estate Agents and managers-Rentals,Collins Kweyamba,Activated,"Oct 3, 2025",Rwanda,Self Search
173763,Crimson Care Africa Ltd,E-Commerce,E-Commerce,5399-Miscellaneous General Merchant (Small Retail),Susan Matiko,Activation Process,,Kenya,N/A
173632,Vault Vibe Limited,Events,Hospitality,5399-Miscellaneous General Merchant (Small Retail),David Githaiga,Closed Won Pending,,Kenya,N/A
173660,HUASHENG BUSINESS MANAGEMENT LIMITED,Hotel,Hospitality,"7011- Hotels, Motels and Resorts",Elia Mwakijale,Finalized,"Oct 3, 2025",Tanzania,N/A
173601,BLACKBASE COMPANY LIMITED,Bar / Lounge,Hospitality,5812- Eating Place & Restaurant,Marko Lambaldo,Activated,"Oct 3, 2025",Tanzania,N/A
173633,KISAKYE TECHNICAL SERVICES-SMC LIMITED,Business Not Elsewhere Classified,Retail,5399-Miscellaneous General Merchant (Small Retail),Sandra Ninsiima,Finalized,"Oct 2, 2025",Uganda,N/A
173641,REEN VALLEY GUEST HOUSE AND BACKPACKERS LIMITED,Hotel,Hospitality,"7011- Hotels, Motels and Resorts",Raymond Eguru,Activated,"Oct 3, 2025",Uganda,N/A
173643,ELEPHANT OASIS TENTED CAMP LIMITED,Hotel,Hospitality,"7011- Hotels, Motels and Resorts",Raymond Eguru,Activated,"Oct 3, 2025",Uganda,N/A
172430,EMPATHETIC LISTENING SERVICES,E-Commerce,E-Commerce,5399-Miscellaneous General Merchant (Small Retail),Michael Ntale,Finalized,"Oct 5, 2025",Uganda,Sales Email Alias
173566,ALFA SAFARIS AND SERVICES Ltd,Tour Operator,Travel,4722- Travel Agencies Tour Operators,Florent Rwamfizi,Closed Won Pending,,Rwanda,N/A
17368,Visage Aesthetics Kenya Ltd,Beauty Shop/Supplies,Retail,5399-Miscellaneous General Merchant (Small Retail),Susan Mutie,Failed Sanction Checks,,Kenya,Account Management Referral
173698,JOYFUL SAFARIS AND TOURS,Travel Agent,Travel,4722- Travel Agencies Tour Operators,Palme Paiton Katemana,Finalized,"Oct 3, 2025",Tanzania,N/A
173677,Nova Axis Trading Ltd,General Service Provider,Retail,5399-Miscellaneous General Merchant (Small Retail),Susan Mutie,Finalized,"Oct 3, 2025",Kenya,Self Search
173513,MM Contrast Investments,E-Commerce,E-Commerce,5399-Miscellaneous General Merchant (Small Retail),Elosy Ngina,Closed Won Pending,,Kenya,Employee Referral
172411,Gadgetspoint,Electronics Shop,Retail,5732- Electronics Sales,Sadru Kazabula,Finalized,"Oct 3, 2025",Tanzania,Account Management Referral
