merchant_id,account_name,account_type,sector,mcc,account_owner,account_status,activated_date,country,referral_source,mcc_code,converted,activate_year,activate_month
174053,Roam and Rove Xpeditions,Travel Agent,Travel,4722- Travel Agencies Tour Operators,Elijah Makau,Proposal,,Kenya,Employee Referral,4722.0,0,,
120001,Multi Branch Main- Scenario 2 dashboards,Cbo/Community Development,Retail,"5111- Stationery, Office Supplies, Printing and Writing Paper",Tracy Biyaki,Finalized,2025-08-26,Kenya,Account Management Referral,5111.0,1,2025.0,8.0
107526,BUSH AND FOREST EXPLORERS LIMITED,Travel Agent,Travel,4722- Travel Agencies Tour Operators,Palme Paiton Katemana,Activated,2025-10-06,Tanzania,Self Search,4722.0,1,2025.0,10.0
173980,FIVE EIGHT LIQUOR PALACE,Liquor Store,Retail,"5921- Package Stores- Beer, Wine and Liquor",Anthony Ngunyi,Activation Process,,Kenya,Self Search,5921.0,0,,
173960,Grandnexus Africa (SMC) LTD,Travel Agent,Travel,4722- Travel Agencies Tour Operators,Adella Asaasira,Activated,2025-10-06,Uganda,Self Search,4722.0,1,2025.0,10.0
173948,KORE WELLNESS LIMITED,Gym,Retail,5399-Miscellaneous General Merchant (Small Retail),Susan Matiko,Rate Review,,Kenya,Bank Referral,5399.0,0,,
173945,Toto Tembo Safaris Limited,Tour Operator,Travel,4722- Travel Agencies Tour Operators,Daniel Chebon,Activated,2025-10-06,Kenya,Self Search,4722.0,1,2025.0,10.0
173827,Onjaonja Kitchen Limited,Liquor Store,Retail,"5921- Package Stores- Beer, Wine and Liquor",Elijah Makau,Activated,2025-10-06,Kenya,Self Search,5921.0,1,2025.0,10.0
173953,Myra IVF And Medical Center Limited,Hospital,Retail,8062- Hospital,Elijah Makau,Activated,2025-10-06,Kenya,Self Search,8062.0,1,2025.0,10.0
173934,Fresh Mood Treks Limited,Tour Operator,Travel,4722- Travel Agencies Tour Operators,Allen Shilinde,Qualified Lead,,Tanzania,Self Search,4722.0,0,,
173752,SOURCE OF THE NILE HOTEL LIMITED,Bar / Lounge,Hospitality,5812- Eating Place & Restaurant,Moses Ochom,Qualified Lead,,Uganda,Account Management Referral,5812.0,0,,
173793,SERENGETI CAPTAIN TOURS & SAFARIS,Travel Agent,Travel,4722- Travel Agencies Tour Operators,Fortunatus Massawe,Qualified Lead,,Tanzania,Self Search,4722.0,0,,
166394,AZL Visions,E-Commerce,E-Commerce,5965- Direct Marketing--Combination Catalog & Retail Merchant,Ann Njoroge,Finalized,2025-10-05,Kenya,Self Search,5965.0,1,2025.0,10.0
173741,AFRIHOSPITAL HOLDINGS LIMITED,Health Services,Retail,8062- Hospital,Susan Matiko,Activation Process,,Kenya,Bank Referral,8062.0,0,,
173357,Taste Of Zanzi (Smc-Private) Limited,Lodge,Hospitality,"7011- Hotels, Motels and Resorts",Sadru Kazabula,Finalized,2025-10-05,Tanzania,Chat,7011.0,1,2025.0,10.0
173690,AARDVARK AFRICA SAFARIS LTD,Tour Operator,Travel,4722- Travel Agencies Tour Operators,Elosy Ngina,Activated,2025-10-06,Kenya,Merchant Referral,4722.0,1,2025.0,10.0
135683,ALDER BAGS ENTERPRISES,E-Commerce,E-Commerce,5399-Miscellaneous General Merchant (Small Retail),Samuel Oloo,Closed Won,,Kenya,Chat,5399.0,0,,
173950,BASECAMP DAR ES SALAAM OPERATIONS LIMITED,Hotel,Hospitality,"7011- Hotels, Motels and Resorts",Marko Lambaldo,Closed Won Pending,,Tanzania,Self Search,7011.0,0,,
173975,MC SMART OPTIONS,E-Commerce,E-Commerce,5399-Miscellaneous General Merchant (Small Retail),Raymond Eguru,Activation Process,,Uganda,Self Search,5399.0,0,,
173954,Shop Kipekee,"Fashion, Clothes & Accessories",Retail,5621- Women Ready to Wear Stores,Susan Mutie,Finalized,2025-10-06,Kenya,Self Search,5621.0,1,2025.0,10.0
173645,The Colobus Boutique,Gift Shop,Retail,5399-Miscellaneous General Merchant (Small Retail),Susan Mutie,Finalized,2025-10-03,Kenya,Bank Referral,5399.0,1,2025.0,10.0
173646,Kajuje Family Dental Care Limited,Health Services,Retail,,Peter Robinson,Qualified Lead,,Kenya,Bank Referral,,0,,
173708,Vanguard Gate Trading Limited,Restaurant,Hospitality,5812- Eating Place & Restaurant,Anthony Ngunyi,Activated,2025-10-06,Kenya,Self Search,5812.0,1,2025.0,10.0
173426,Kenya Wildstep Safaris Ltd,Tour Operator,Travel,4722- Travel Agencies Tour Operators,Jonah Rop,Closed Won,,Kenya,Self Search,4722.0,0,,
173538,AFRICA LOVELY SAFARIS Ltd,Tour Operator,Travel,4722- Travel Agencies Tour Operators,Collins Kweyamba,Finalized,2025-10-06,Rwanda,Self Search,4722.0,1,2025.0,10.0
154303,B2R BRAND,E-Commerce,E-Commerce,5399-Miscellaneous General Merchant (Small Retail),Allen Shilinde,Activated,2025-10-03,Tanzania,Helpdesk,5399.0,1,2025.0,10.0
173117,POLO SPYTECH COMPANY LIMITED,E-Commerce,E-Commerce,5399-Miscellaneous General Merchant (Small Retail),Sharon Munguryek,Finalized,2025-10-03,Uganda,Self Search,5399.0,1,2025.0,10.0
173602,PENTTI Ltd,Consultancy,Retail,6513- Real Estate Agents and managers-Rentals,Collins Kweyamba,Activated,2025-10-03,Rwanda,Self Search,6513.0,1,2025.0,10.0
173763,Crimson Care Africa Ltd,E-Commerce,E-Commerce,5399-Miscellaneous General Merchant (Small Retail),Susan Matiko,Activation Process,,Kenya,Self Search,5399.0,0,,
173632,Vault Vibe Limited,Events,Hospitality,5399-Miscellaneous General Merchant (Small Retail),David Githaiga,Closed Won Pending,,Kenya,Self Search,5399.0,0,,
173660,HUASHENG BUSINESS MANAGEMENT LIMITED,Hotel,Hospitality,"7011- Hotels, Motels and Resorts",Elia Mwakijale,Finalized,2025-10-03,Tanzania,Self Search,7011.0,1,2025.0,10.0
173601,BLACKBASE COMPANY LIMITED,Bar / Lounge,Hospitality,5812- Eating Place & Restaurant,Marko Lambaldo,Activated,2025-10-03,Tanzania,Self Search,5812.0,1,2025.0,10.0
173633,KISAKYE TECHNICAL SERVICES-SMC LIMITED,Business Not Elsewhere Classified,Retail,5399-Miscellaneous General Merchant (Small Retail),Sandra Ninsiima,Finalized,2025-10-02,Uganda,Self Search,5399.0,1,2025.0,10.0
173641,REEN VALLEY GUEST HOUSE AND BACKPACKERS LIMITED,Hotel,Hospitality,"7011- Hotels, Motels and Resorts",Raymond Eguru,Activated,2025-10-03,Uganda,Self Search,7011.0,1,2025.0,10.0
173643,ELEPHANT OASIS TENTED CAMP LIMITED,Hotel,Hospitality,"7011- Hotels, Motels and Resorts",Raymond Eguru,Activated,2025-10-03,Uganda,Self Search,7011.0,1,2025.0,10.0
172430,EMPATHETIC LISTENING SERVICES,E-Commerce,E-Commerce,5399-Miscellaneous General Merchant (Small Retail),Michael Ntale,Finalized,2025-10-05,Uganda,Sales Email Alias,5399.0,1,2025.0,10.0
173566,ALFA SAFARIS AND SERVICES Ltd,Tour Operator,Travel,4722- Travel Agencies Tour Operators,Florent Rwamfizi,Closed Won Pending,,Rwanda,Self Search,4722.0,0,,
17368,Visage Aesthetics Kenya Ltd,Beauty Shop/Supplies,Retail,5399-Miscellaneous General Merchant (Small Retail),Susan Mutie,Failed Sanction Checks,,Kenya,Account Management Referral,5399.0,0,,
173698,JOYFUL SAFARIS AND TOURS,Travel Agent,Travel,4722- Travel Agencies Tour Operators,Palme Paiton Katemana,Finalized,2025-10-03,Tanzania,Self Search,4722.0,1,2025.0,10.0
